model,img_idx,orig_idx,true_class,group,hook,delta_l2,dpc_0,dpc_1,dpc_2,secondary
D4LensPINN,0,11,2,flip_h_r180,H11_inv_lens,6.992574214935303,-4.158946514129639,-2.4972829818725586,5.0361528396606445,False
D4LensPINN,0,11,2,flip_h_r180,H12_HANDOFF,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H12b_input_proj,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H13_eff3,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H13b_eff4,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H14_eff5,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H14b_eff6,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H15_before_gap,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H16_after_gap,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r180,H17_pre_linear,0.8866001963615417,0.018115997314453125,0.7354817390441895,-0.49477100372314453,False
D4LensPINN,0,11,2,flip_h_r270,H00_preprocess,1.6562793254852295,-1.0604782104492188,1.1687312126159668,-0.5027072429656982,False
D4LensPINN,0,11,2,flip_h_r270,H01_enc1,1.6562793254852295,-1.0604782104492188,1.1687312126159668,-0.5027072429656982,False
D4LensPINN,0,11,2,flip_h_r270,H02_enc2,2.2429070472717285,-1.7192764282226562,1.3887020349502563,-0.3823974132537842,False
D4LensPINN,0,11,2,flip_h_r270,H03_enc3,0.17571139335632324,-0.14946556091308594,0.06903469562530518,0.06139016151428223,False
D4LensPINN,0,11,2,flip_h_r270,H04_bot,0.30233266949653625,-0.2428436279296875,0.0014232397079467773,0.1800832748413086,False
D4LensPINN,0,11,2,flip_h_r270,H08_kappa_out,1.6562793254852295,-1.0604782104492188,1.1687312126159668,-0.5027072429656982,False
D4LensPINN,0,11,2,flip_h_r270,H09_poisson,0.1548006683588028,-0.08921957015991211,0.10869300365447998,-0.06472206115722656,False
D4LensPINN,0,11,2,flip_h_r270,H10_deflection,0.1548006683588028,-0.08921957015991211,0.10869300365447998,-0.06472206115722656,False
D4LensPINN,0,11,2,flip_h_r270,H11_inv_lens,32.325931549072266,-20.691604614257812,-12.723601341247559,21.329166412353516,False
D4LensPINN,0,11,2,flip_h_r270,H12_HANDOFF,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H12b_input_proj,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H13_eff3,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H13b_eff4,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H14_eff5,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H14b_eff6,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H15_before_gap,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H16_after_gap,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
D4LensPINN,0,11,2,flip_h_r270,H17_pre_linear,3.8737354278564453,-2.9926280975341797,2.3729348182678223,-0.647444486618042,False
