group,d_full,d_kappa,d_isr
flip_h_r180,3.155585765838623,0.25514230132102966,2.0205790996551514
flip_h_r270,4.616232872009277,1.0324786901474,1.0278348922729492
r90,2.160855770111084,2.8333261013031006,3.7210402488708496
r180,1.7369052171707153,3.2446541786193848,5.22721004486084
r270,0.9716324210166931,2.258474588394165,5.175632953643799
flip_h,1.5721566677093506,2.1801540851593018,8.3338623046875
flip_h_r90,0.8587495684623718,1.6550763845443726,2.000920534133911
flip_h_r180,3.5535695552825928,3.095142126083374,5.069436073303223
flip_h_r270,1.0628013610839844,7.47019624710083,3.7027416229248047
r90,1.3887296915054321,1.1204725503921509,2.4839558601379395
r180,4.066317558288574,6.581812858581543,6.297560214996338
r270,2.3769450187683105,4.396320819854736,2.019214153289795
flip_h,1.2896318435668945,0.961114227771759,3.255131959915161
flip_h_r90,2.633589744567871,4.595343112945557,1.9359053373336792
flip_h_r180,1.712731957435608,5.1349334716796875,5.747230052947998
flip_h_r270,1.5400813817977905,5.466481685638428,1.087041974067688
r90,2.8706369400024414,2.927436113357544,0.6815146803855896
r180,3.107116222381592,6.653209686279297,5.33501672744751
r270,1.9418998956680298,0.4298834800720215,1.4117679595947266
flip_h,0.44385141134262085,0.5402470231056213,1.278536319732666
flip_h_r90,0.9033393263816833,1.107189655303955,0.4464288651943207
flip_h_r180,0.33773815631866455,0.48541000485420227,1.3187378644943237
flip_h_r270,3.317384719848633,6.82370138168335,5.54595947265625
r90,1.8271692991256714,3.7186636924743652,2.3422739505767822
r180,2.144758462905884,2.6789486408233643,4.053757667541504
r270,1.6337499618530273,4.1782755851745605,2.394010066986084
flip_h,3.120492696762085,2.633265495300293,4.869228363037109
flip_h_r90,4.6271514892578125,1.5914123058319092,1.8717490434646606
flip_h_r180,1.9193750619888306,4.290355205535889,3.222273111343384
flip_h_r270,1.957770824432373,3.5032379627227783,2.0044097900390625
r90,0.48251602053642273,2.3007936477661133,0.4000599682331085
r180,1.3682600259780884,5.6719818115234375,5.386672496795654
r270,0.2641003429889679,4.721779823303223,1.4681215286254883
flip_h,1.7703709602355957,1.3809850215911865,1.179875135421753
flip_h_r90,0.7216020822525024,2.6138341426849365,0.684347927570343
flip_h_r180,0.4596141576766968,4.182182788848877,3.5199053287506104
flip_h_r270,1.748166561126709,3.8162729740142822,1.7859888076782227
r90,3.3910887241363525,1.855355978012085,2.3981828689575195
r180,0.686744213104248,2.123767137527466,2.6842222213745117
r270,2.5244948863983154,0.5730741024017334,2.376558780670166
flip_h,1.4060826301574707,5.42605447769165,1.775847315788269
flip_h_r90,2.5084285736083984,2.463707447052002,1.9414962530136108
flip_h_r180,4.942783832550049,2.7048141956329346,1.7494734525680542
flip_h_r270,2.493109941482544,2.7931175231933594,1.997800350189209
r90,4.355606555938721,0.5184961557388306,4.290364742279053
r180,1.164541482925415,1.0105969905853271,1.548414945602417
r270,5.387328624725342,1.2114219665527344,6.116637229919434
flip_h,0.1121688112616539,0.4678189754486084,0.3317575752735138
flip_h_r90,5.283452033996582,0.9380739331245422,5.033354759216309
flip_h_r180,0.6712138056755066,1.0792434215545654,1.093902349472046
flip_h_r270,7.397624492645264,1.3468624353408813,6.6337127685546875
r90,3.8195137977600098,12.715332984924316,9.859251976013184
r180,1.065407395362854,15.291742324829102,15.120063781738281
r270,4.2597808837890625,11.451563835144043,14.259626388549805
flip_h,3.4464244842529297,12.723101615905762,12.734719276428223
flip_h_r90,4.471290588378906,13.802285194396973,13.910760879516602
flip_h_r180,5.349264621734619,12.535959243774414,9.906328201293945
flip_h_r270,0.7857984304428101,12.275758743286133,8.449158668518066
r90,2.654350996017456,2.2695178985595703,8.4517240524292
r180,0.6138004064559937,3.316174268722534,5.386659622192383
r270,5.29799747467041,3.1203458309173584,7.634787559509277
flip_h,2.2972161769866943,4.353496551513672,5.981541633605957
flip_h_r90,3.7496390342712402,3.4183435440063477,5.736535549163818
flip_h_r180,2.1317381858825684,5.261662483215332,5.4231648445129395
flip_h_r270,6.727591514587402,1.3978346586227417,11.674212455749512
r90,6.983125686645508,4.2024970054626465,9.331303596496582
r180,4.96752405166626,8.887327194213867,5.20659065246582
r270,8.865047454833984,5.3877410888671875,10.50696086883545
flip_h,1.548171877861023,3.554401159286499,3.2457523345947266
flip_h_r90,6.447377681732178,7.83225154876709,8.403318405151367
flip_h_r180,1.285658597946167,5.798899173736572,3.4825971126556396
flip_h_r270,12.393948554992676,6.610167026519775,8.321168899536133
r90,4.501883506774902,0.3608192205429077,3.628934860229492
r180,1.4514185190200806,0.6654093861579895,0.38666674494743347
r270,6.190953731536865,1.0069457292556763,5.237183094024658
flip_h,0.7670086622238159,2.7088701725006104,0.3626704812049866
flip_h_r90,6.7049880027771,0.6592878103256226,5.686517238616943
flip_h_r180,0.17538495361804962,0.5995455384254456,0.34024983644485474
flip_h_r270,9.262155532836914,0.3742108941078186,7.453765869140625
r90,5.0424652099609375,2.501997232437134,4.919930934906006
r180,2.5502846240997314,2.635307550430298,3.4101200103759766
r270,5.852594375610352,0.9474645256996155,2.356802225112915
flip_h,2.8930721282958984,2.798658847808838,2.347548246383667
flip_h_r90,6.340068340301514,2.61690354347229,3.5428688526153564
flip_h_r180,1.681465983390808,1.9738987684249878,2.6986329555511475
flip_h_r270,5.100288391113281,0.7361611723899841,2.649587631225586
r90,2.280618190765381,6.440804481506348,2.6856260299682617
r180,3.2322988510131836,4.3441596031188965,0.3369234800338745
