model,img_idx,orig_idx,true_class,group,hook,delta_l2,dpc_0,dpc_1,dpc_2,secondary
D4LensPINN,1,17,2,r270,H13_eff3,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H13b_eff4,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H14_eff5,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H14b_eff6,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H15_before_gap,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H16_after_gap,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H17_pre_linear,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,flip_h,H00_preprocess,1.6348379850387573,1.0878422260284424,0.5565032362937927,-1.0860933065414429,False
D4LensPINN,1,17,2,flip_h,H01_enc1,1.6348379850387573,1.0878422260284424,0.5565032362937927,-1.0860933065414429,False
D4LensPINN,1,17,2,flip_h,H02_enc2,2.569981098175049,1.606295108795166,0.9799076318740845,-1.7505427598953247,False
D4LensPINN,1,17,2,flip_h,H03_enc3,0.6432490944862366,0.21877384185791016,0.37835031747817993,-0.4719729423522949,False
D4LensPINN,1,17,2,flip_h,H04_bot,0.4780806601047516,0.20080995559692383,0.2618788480758667,-0.3459131717681885,False
D4LensPINN,1,17,2,flip_h,H08_kappa_out,1.6348379850387573,1.0878422260284424,0.5565032362937927,-1.0860933065414429,False
D4LensPINN,1,17,2,flip_h,H09_poisson,0.22383545339107513,0.10904121398925781,-0.16289132833480835,0.10806822776794434,False
