model,img_idx,true_class,group,hook,repr_dist
D4LensPINN,2,0,r180,H14b_eff6,0.20965267483465938
D4LensPINN,2,0,r180,H15_before_gap,0.5426754804459467
D4LensPINN,2,0,r180,H16_after_gap,0.34119285639417174
D4LensPINN,2,0,r180,H17_pre_linear,0.34119285639417174
D4LensPINN,2,0,r270,H00_preprocess,1.2177573268791646
D4LensPINN,2,0,r270,H01_enc1,1.1196449242597142
D4LensPINN,2,0,r270,H02_enc2,0.9624108449158822
D4LensPINN,2,0,r270,H03_enc3,0.8257624964613318
D4LensPINN,2,0,r270,H04_bot,0.5907788086826571
D4LensPINN,2,0,r270,H08_kappa_out,0.8423370106020184
D4LensPINN,2,0,r270,H09_poisson,0.07908758255800821
D4LensPINN,2,0,r270,H10_deflection,0.5915868848200905
D4LensPINN,2,0,r270,H11_inv_lens,1.0277030262267315
D4LensPINN,2,0,r270,H12_HANDOFF,1.0284160138330256
D4LensPINN,2,0,r270,H12b_input_proj,1.1517406415536036
D4LensPINN,2,0,r270,H13_eff3,1.0207938611563057
D4LensPINN,2,0,r270,H13b_eff4,0.9421262944712432
D4LensPINN,2,0,r270,H14_eff5,0.8180204865029962
D4LensPINN,2,0,r270,H14b_eff6,0.5748548152399647
D4LensPINN,2,0,r270,H15_before_gap,1.5139325878807328
D4LensPINN,2,0,r270,H16_after_gap,1.4973527488219127
D4LensPINN,2,0,r270,H17_pre_linear,1.4973527488219127
D4LensPINN,2,0,flip_h,H00_preprocess,1.223206710143869
D4LensPINN,2,0,flip_h,H01_enc1,1.087442876220617
D4LensPINN,2,0,flip_h,H02_enc2,0.9479224581166389
D4LensPINN,2,0,flip_h,H03_enc3,0.7704413615265093
D4LensPINN,2,0,flip_h,H04_bot,0.4992737934350617
D4LensPINN,2,0,flip_h,H08_kappa_out,0.7342233661753191
D4LensPINN,2,0,flip_h,H09_poisson,0.0853183147947064
D4LensPINN,2,0,flip_h,H10_deflection,0.6926481898575124
D4LensPINN,2,0,flip_h,H11_inv_lens,1.0570426331378222
D4LensPINN,2,0,flip_h,H12_HANDOFF,1.0576037524662498
D4LensPINN,2,0,flip_h,H12b_input_proj,1.1727415227650522
D4LensPINN,2,0,flip_h,H13_eff3,1.000218578036428
D4LensPINN,2,0,flip_h,H13b_eff4,0.8938736121757589
D4LensPINN,2,0,flip_h,H14_eff5,0.7783665730453447
D4LensPINN,2,0,flip_h,H14b_eff6,0.2286094495479694
D4LensPINN,2,0,flip_h,H15_before_gap,0.5250464567996285
D4LensPINN,2,0,flip_h,H16_after_gap,0.45261525001270403
D4LensPINN,2,0,flip_h,H17_pre_linear,0.45261525001270403
D4LensPINN,2,0,flip_h_r90,H00_preprocess,1.285973457465702
D4LensPINN,2,0,flip_h_r90,H01_enc1,1.209571599780701
D4LensPINN,2,0,flip_h_r90,H02_enc2,1.0997629786596146
D4LensPINN,2,0,flip_h_r90,H03_enc3,0.9722899785219209
D4LensPINN,2,0,flip_h_r90,H04_bot,0.6356279720493281
D4LensPINN,2,0,flip_h_r90,H08_kappa_out,0.849861249400257
D4LensPINN,2,0,flip_h_r90,H09_poisson,0.08760273776543533
D4LensPINN,2,0,flip_h_r90,H10_deflection,0.5879213837729049
D4LensPINN,2,0,flip_h_r90,H11_inv_lens,1.1036564412124523
D4LensPINN,2,0,flip_h_r90,H12_HANDOFF,1.104278243960552
D4LensPINN,2,0,flip_h_r90,H12b_input_proj,1.2124593311819065
D4LensPINN,2,0,flip_h_r90,H13_eff3,1.036771235749807
D4LensPINN,2,0,flip_h_r90,H13b_eff4,0.9239629650514509
D4LensPINN,2,0,flip_h_r90,H14_eff5,0.8135461970136413
D4LensPINN,2,0,flip_h_r90,H14b_eff6,0.4732554451546411
D4LensPINN,2,0,flip_h_r90,H15_before_gap,1.2589500396217812
D4LensPINN,2,0,flip_h_r90,H16_after_gap,1.0504494229341923
D4LensPINN,2,0,flip_h_r90,H17_pre_linear,1.0504494229341923
D4LensPINN,2,0,flip_h_r180,H00_preprocess,1.2670133085530786
D4LensPINN,2,0,flip_h_r180,H01_enc1,1.135939920616383
D4LensPINN,2,0,flip_h_r180,H02_enc2,0.939954526472784
D4LensPINN,2,0,flip_h_r180,H03_enc3,0.7791974820264936
D4LensPINN,2,0,flip_h_r180,H04_bot,0.45877603103707687
D4LensPINN,2,0,flip_h_r180,H08_kappa_out,0.6896758093501695
D4LensPINN,2,0,flip_h_r180,H09_poisson,0.043586780895825385
D4LensPINN,2,0,flip_h_r180,H10_deflection,0.30448799388901954
D4LensPINN,2,0,flip_h_r180,H11_inv_lens,0.8383071039163322
D4LensPINN,2,0,flip_h_r180,H12_HANDOFF,0.8394675188132862
D4LensPINN,2,0,flip_h_r180,H12b_input_proj,0.9737868533439719
D4LensPINN,2,0,flip_h_r180,H13_eff3,0.9562110268838853
D4LensPINN,2,0,flip_h_r180,H13b_eff4,0.7941041801524105
D4LensPINN,2,0,flip_h_r180,H14_eff5,0.7083929061673503
D4LensPINN,2,0,flip_h_r180,H14b_eff6,0.39482265646008696
D4LensPINN,2,0,flip_h_r180,H15_before_gap,1.2938419464789772
D4LensPINN,2,0,flip_h_r180,H16_after_gap,1.4889538605168415
D4LensPINN,2,0,flip_h_r180,H17_pre_linear,1.4889538605168415
D4LensPINN,2,0,flip_h_r270,H00_preprocess,1.2336259899970636
D4LensPINN,2,0,flip_h_r270,H01_enc1,1.0742642709663734
D4LensPINN,2,0,flip_h_r270,H02_enc2,0.9446426120206629
D4LensPINN,2,0,flip_h_r270,H03_enc3,0.8148073529635265
D4LensPINN,2,0,flip_h_r270,H04_bot,0.5632265714374354
D4LensPINN,2,0,flip_h_r270,H08_kappa_out,0.7259221009258229
D4LensPINN,2,0,flip_h_r270,H09_poisson,0.055794878870920696
