model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,11,2,flip_h_r270,H08_kappa_out,3.7670559883117676,6.31396484375
VanillaLensPINN,11,2,flip_h_r270,H09_poisson,0.44368359446525574,22759.64453125
VanillaLensPINN,11,2,flip_h_r270,H10_deflection,0.44368359446525574,171.8103485107422
VanillaLensPINN,11,2,flip_h_r270,H11_inv_lens,4.770887851715088,250.5823860168457
VanillaLensPINN,11,2,flip_h_r270,H12_HANDOFF,4.1141357421875,481.7169189453125
VanillaLensPINN,11,2,flip_h_r270,H13_eff3,4.1141357421875,640515.125
VanillaLensPINN,11,2,flip_h_r270,H13b_eff4,4.1141357421875,238617.25
VanillaLensPINN,11,2,flip_h_r270,H14_eff5,4.1141357421875,268075.71875
VanillaLensPINN,11,2,flip_h_r270,H14b_eff6,4.1141357421875,168462.953125
VanillaLensPINN,11,2,flip_h_r270,H15_before_gap,4.1141357421875,11408.646484375
VanillaLensPINN,11,2,flip_h_r270,H16_after_gap,4.1141357421875,17.137283325195312
VanillaLensPINN,11,2,flip_h_r270,H17_pre_linear,4.1141357421875,17.137283325195312
VanillaLensPINN,17,2,e,H00_preprocess,0.0,0.0
VanillaLensPINN,17,2,e,H01_enc1,0.0,0.0
VanillaLensPINN,17,2,e,H02_enc2,0.0,0.0
VanillaLensPINN,17,2,e,H03_enc3,0.0,0.0
VanillaLensPINN,17,2,e,H04_bot,0.0,0.0
VanillaLensPINN,17,2,e,H08_kappa_out,0.0,0.0
VanillaLensPINN,17,2,e,H09_poisson,0.0,0.0
VanillaLensPINN,17,2,e,H10_deflection,0.0,0.0
VanillaLensPINN,17,2,e,H11_inv_lens,0.0,0.0
VanillaLensPINN,17,2,e,H12_HANDOFF,0.0,0.0
VanillaLensPINN,17,2,e,H13_eff3,0.0,0.0
VanillaLensPINN,17,2,e,H13b_eff4,0.0,0.0
VanillaLensPINN,17,2,e,H14_eff5,0.0,0.0
VanillaLensPINN,17,2,e,H14b_eff6,0.0,0.0
VanillaLensPINN,17,2,e,H15_before_gap,0.0,0.0
VanillaLensPINN,17,2,e,H16_after_gap,0.0,0.0
VanillaLensPINN,17,2,e,H17_pre_linear,0.0,0.0
VanillaLensPINN,17,2,r90,H00_preprocess,1.3450299501419067,711.7491455078125
VanillaLensPINN,17,2,r90,H01_enc1,1.3450299501419067,208405.3125
VanillaLensPINN,17,2,r90,H02_enc2,3.0266668796539307,144982.4375
VanillaLensPINN,17,2,r90,H03_enc3,1.9233347177505493,82082.234375
VanillaLensPINN,17,2,r90,H04_bot,1.423938512802124,2541182.0
VanillaLensPINN,17,2,r90,H08_kappa_out,1.3450299501419067,13.25506591796875
VanillaLensPINN,17,2,r90,H09_poisson,0.47752389311790466,107781.078125
VanillaLensPINN,17,2,r90,H10_deflection,0.47752389311790466,482.7249755859375
VanillaLensPINN,17,2,r90,H11_inv_lens,2.5552051067352295,228.35253381729126
VanillaLensPINN,17,2,r90,H12_HANDOFF,4.098408222198486,457.95074462890625
VanillaLensPINN,17,2,r90,H13_eff3,4.098408222198486,733735.875
VanillaLensPINN,17,2,r90,H13b_eff4,4.098408222198486,295482.6875
VanillaLensPINN,17,2,r90,H14_eff5,4.098408222198486,318457.3125
VanillaLensPINN,17,2,r90,H14b_eff6,4.098408222198486,207251.9375
VanillaLensPINN,17,2,r90,H15_before_gap,4.098408222198486,14602.990234375
